Episode,Cumulative Reward
1,8.219772547901345
2,-0.0882519147746143
3,-0.1615809173169837
4,-0.0322444067621855
5,4.317899249447742
6,6.907980674137085
7,10.659135917635052
8,30.00972289261305
9,5.22938113461404
10,-0.1349523387358405
11,-0.0566928087860517
12,-0.0764159764218745
13,-0.0537406682283019
14,6.17033182390274
15,-0.036458290263614
16,4.149264895016491
17,14.282707375465492
18,-0.1022510545230676
19,6.265594175995609
20,-0.1289871552411497
21,10.28214629247148
22,3.4650647961241976
23,7.530359655039429
24,-0.0477062394502373
25,11.184011144050766
26,5.048787283271611
27,-0.0597174086058819
28,-0.0570030112875425
29,15.235754256
30,14.471845993096313
31,6.765642290499839
32,-0.047638843738534
33,7.107093242381971
34,23.8594861309928
35,4.611566129468968
36,30.994897434533936
37,-0.1252228817251254
38,-0.1600311541473958
39,-0.0490593241317383
40,7.871336274388183
41,-0.0772286641952473
42,-0.1182883218741398
43,3.9728965213723386
44,-0.114325031775326
45,1.895324454572051
46,-0.0488636672553645
47,-0.0640234113757589
48,-0.0682558951467998
49,-0.0455349725266497
50,18.3013950718396
51,-0.0745748107710576
52,6.007645229557439
53,-0.0807646486166513
54,-0.0686691698417479
55,8.223491548745615
56,-0.0505697143340956
57,-0.134022963332214
58,6.22985891295689
59,-0.084258725187084
60,7.780299284308573
61,5.512138192109378
62,-0.0524858371149803
63,-0.0920269854274573
64,-0.0727971066428721
65,4.140581938289453
66,21.724153923793583
67,-0.0802684087882636
68,2.958472575194048
69,2.958076514692738
70,10.374615818396208
71,6.564675941963196
72,-0.0636702380397729
73,-0.1037131955144189
74,7.675554138039868
75,-0.0810254430520998
76,6.622430068973576
77,31.064435111937424
78,-0.0855369565118866
79,-0.0442706269157811
80,10.523386290459976
81,-0.1043140741225251
82,-0.0563267203950234
83,-0.11948282860969
84,16.684909879773542
85,-0.0994474450380415
86,7.654830061473778
87,-0.0822238875752412
88,-0.0661234715204908
89,-0.0633411368579567
90,7.600772079249999
91,55.49451428047161
92,-0.1247118334445145
93,-0.049619221280416
94,25.70100130793828
95,-0.0915220818125936
96,-0.0538167160106479
97,-0.0589544177944917
98,9.2287169921374
99,39.48265816033636
100,-0.0416356254500695
101,14.285889384351146
102,10.096183222131698
103,70.80319190569936
104,-0.0801437438575373
105,16.661322356196397
106,-0.0613283621881887
107,-0.1085589457992817
108,-0.0860152547941569
109,-0.0529528656038074
110,11.127167394902848
111,-0.0557520392589649
112,-0.0961742369845472
113,66.37559603309015
114,10.987355293872362
115,10.387301055449583
116,19.121511711625644
117,23.327213293367915
118,-0.0670865340083907
119,-0.0833919667115448
120,-0.0426827727447352
121,-0.0603663875318365
122,36.58644891166899
123,14.489653397624268
124,-0.0782116593500872
125,37.780792079867865
126,-0.0497827375917613
127,-0.0488087386154202
128,47.10627077940681
129,-0.1125223125294393
130,10.887362820744045
131,-0.1019377195091982
