Episode,Cumulative Reward
1,7.239855072463769
2,6.659
3,-0.0009980039920159
4,-0.0064516129032258
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,12.053592351123205
19,76.80250706376441
20,7.318454102174453
21,15.831906634311027
22,48.47696134662599
23,7.736359986509313
24,13.197858918497603
25,8.4585087575573
26,14.63831044433576
27,97.6406133540452
28,110.09840009551073
29,17.015806201906507
30,69.9365946184288
31,199.23210014764396
32,43.046494367263705
33,54.80549457700629
34,31.61423387150587
35,16.517189936143982
36,7.735944989016006
37,17.024756995579718
